experiment_id,run_name,attention_type,config_path,checkpoint_status,diagnostics_status,run_summary_status,gauntlet_status,promotion_status,supported_hook_sites,unsupported_hook_sites,posthoc_probe_status,notes
E001_cp_trilinear_attention,cp_bilinear_r8_30m_seed1,cp_bilinear,configs/experiments/E001_cp_trilinear_attention/cp_bilinear_r8_30m_seed1.yaml,available,available,available,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;cp_score[layer];cp_output[layer];cp_lambda[layer],"cp_rank_component[layer, rank]",checkpoint_recompute_available,
E001_cp_trilinear_attention,cp_trilinear_r8_30m_seed1,cp_trilinear,configs/experiments/E001_cp_trilinear_attention/cp_trilinear_r8_30m_seed1.yaml,available,available,available,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;cp_score[layer];cp_output[layer];cp_lambda[layer],"cp_rank_component[layer, rank]",checkpoint_recompute_available,
E001_cp_trilinear_attention,cp_trilinear_r8_lambda0_30m_seed1,cp_trilinear,configs/experiments/E001_cp_trilinear_attention/cp_trilinear_r8_lambda0_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;cp_score[layer];cp_output[layer];cp_lambda[layer],"cp_rank_component[layer, rank]",checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E001_cp_trilinear_attention,standard_30m_seed1,standard,configs/experiments/E001_cp_trilinear_attention/standard_30m_seed1.yaml,available,not_recorded,available,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits,,checkpoint_recompute_available,not_recorded
E001_cp_trilinear_attention,standard_refactor_control_30m_seed1,standard,configs/experiments/E001_cp_trilinear_attention/standard_refactor_control_30m_seed1.yaml,checkpoint_unavailable,not_recorded,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits,,checkpoint_unavailable,checkpoint_unavailable; not_recorded; run_summary_missing
